Visitor_ID,Age,Gender,Accommodation_Type,Accommodation_Cost (INR),Travel_Mode,Travel_Cost (INR),Total_Trip_Cost (INR),Visit_Month,Group_Size,State_of_Origin,Trip_Duration (Days)
V14736,38,Male,Tent,4090,Helicopter,7280,11370,September,5,Delhi,4
V14737,65,Male,Dharamshala,3874,Walk,0,3874,September,10,Uttar Pradesh,5
V14738,48,Male,Hotel,2378,Palanquin,515,2893,August,10,Rajasthan,4
V14739,29,Male,Hotel,4206,Horse,2492,6698,October,6,Gujarat,7
V14740,70,Male,Dharamshala,3839,Walk,0,3839,July,10,Rajasthan,5
V14741,53,Female,Hotel,3436,Horse,3575,7011,June,10,Madhya Pradesh,7
V14742,32,Male,Hotel,2071,Walk,0,2071,July,10,Maharashtra,1
V14743,59,Male,Tent,2628,Walk,0,2628,May,4,Delhi,3
V14744,68,Male,Tent,2611,Palanquin,4732,7343,July,9,Uttar Pradesh,7
V14745,25,Male,Hotel,3202,Walk,0,3202,October,6,Uttar Pradesh,1
V14746,66,Female,Tent,2710,Palanquin,4554,7264,May,3,Gujarat,2
V14747,54,Male,Hotel,2276,Horse,1365,3641,October,9,Madhya Pradesh,7
V14748,52,Male,Hotel,1641,Horse,1959,3600,June,8,Maharashtra,6
V14749,45,Male,Hotel,1090,Walk,0,1090,October,1,Gujarat,2
V14750,20,Female,Dharamshala,1581,Walk,0,1581,May,8,Delhi,3
V14751,24,Female,Hotel,3817,Palanquin,3422,7239,June,4,Uttar Pradesh,7
V14752,49,Female,Tent,3038,Walk,0,3038,May,5,Gujarat,2
V14753,50,Female,Hotel,1426,Palanquin,4206,5632,May,6,Gujarat,4
V14754,49,Female,Hotel,4705,Walk,0,4705,June,7,Delhi,5
V14755,43,Female,Dharamshala,509,Walk,0,509,May,5,Uttar Pradesh,3
V14756,67,Female,Tent,3288,Palanquin,3705,6993,July,7,Delhi,4
V14757,18,Female,Hotel,1432,Walk,0,1432,October,2,Rajasthan,2
V14758,38,Male,Tent,417,Palanquin,839,1256,October,10,Maharashtra,7
V14759,22,Female,Hotel,710,Helicopter,2512,3222,August,7,Madhya Pradesh,2
V14760,46,Female,Dharamshala,2599,Palanquin,5062,7661,July,8,Uttar Pradesh,2
V14761,57,Male,Tent,3645,Palanquin,7603,11248,September,4,Gujarat,5
V14762,49,Male,Dharamshala,4190,Palanquin,5710,9900,August,10,Madhya Pradesh,7
V14763,30,Female,Hotel,1497,Helicopter,3363,4860,September,1,Delhi,2
V14764,49,Male,Hotel,505,Walk,0,505,July,8,Delhi,7
V14765,20,Female,Dharamshala,2684,Horse,5981,8665,August,9,Uttar Pradesh,6
V14766,48,Male,Hotel,477,Horse,1340,1817,October,6,Madhya Pradesh,1
V14767,34,Male,Tent,614,Horse,2318,2932,July,3,Uttar Pradesh,2
V14768,55,Male,Dharamshala,852,Horse,2604,3456,June,4,Uttar Pradesh,1
V14769,39,Male,Hotel,2009,Helicopter,1448,3457,October,2,Rajasthan,2
V14770,61,Female,Hotel,3786,Walk,0,3786,August,10,Madhya Pradesh,6
V14771,44,Female,Hotel,2251,Walk,0,2251,May,1,Delhi,6
V14772,60,Female,Hotel,3352,Walk,0,3352,August,10,Madhya Pradesh,1
V14773,24,Other,Tent,1052,Walk,0,1052,September,1,Rajasthan,2
V14774,62,Other,Dharamshala,1816,Walk,0,1816,August,7,Delhi,2
V14775,28,Male,Hotel,810,Helicopter,6207,7017,May,8,Gujarat,5
V14776,24,Male,Tent,2230,Horse,4712,6942,August,7,Delhi,6
V14777,23,Other,Hotel,490,Palanquin,3444,3934,June,3,Rajasthan,3
V14778,35,Female,Tent,3106,Walk,0,3106,July,6,Rajasthan,3
V14779,41,Male,Hotel,2898,Walk,0,2898,September,2,Gujarat,2
V14780,68,Female,Hotel,586,Palanquin,4096,4682,June,8,Madhya Pradesh,2
V14781,60,Male,Tent,837,Horse,4351,5188,June,10,Madhya Pradesh,4
V14782,47,Female,Dharamshala,2318,Walk,0,2318,June,10,Maharashtra,5
V14783,49,Male,Tent,2413,Walk,0,2413,October,10,Delhi,1
V14784,62,Female,Hotel,1248,Horse,5887,7135,June,2,Maharashtra,3
V14785,70,Female,Hotel,3407,Walk,0,3407,July,8,Gujarat,3
V14786,55,Female,Dharamshala,2602,Helicopter,7351,9953,May,10,Gujarat,5
V14787,18,Other,Hotel,480,Walk,0,480,October,4,Gujarat,4
V14788,42,Male,Hotel,683,Walk,0,683,August,2,Rajasthan,5
V14789,43,Other,Tent,1539,Walk,0,1539,October,3,Delhi,3
V14790,70,Other,Dharamshala,3917,Walk,0,3917,August,5,Delhi,1
V14791,54,Other,Hotel,678,Helicopter,2206,2884,August,3,Uttar Pradesh,4
V14792,65,Male,Hotel,4026,Palanquin,4859,8885,June,3,Uttar Pradesh,6
V14793,27,Male,Tent,4059,Walk,0,4059,June,10,Gujarat,6
V14794,57,Male,Tent,4598,Walk,0,4598,July,4,Delhi,6
V14795,54,Male,Tent,1989,Walk,0,1989,August,8,Uttar Pradesh,2
V14796,18,Female,Tent,4605,Horse,4019,8624,June,1,Uttar Pradesh,5
V14797,30,Female,Hotel,724,Walk,0,724,June,1,Uttar Pradesh,3
V14798,64,Male,Tent,4460,Walk,0,4460,June,8,Rajasthan,1
V14799,46,Female,Hotel,745,Palanquin,5610,6355,June,2,Maharashtra,6
V14800,50,Female,Tent,3551,Horse,666,4217,July,6,Uttar Pradesh,5
V14801,51,Male,Hotel,3536,Helicopter,6855,10391,July,1,Maharashtra,5
V14802,20,Male,Hotel,590,Helicopter,3208,3798,May,8,Gujarat,3
V14803,36,Female,Hotel,2136,Walk,0,2136,August,7,Gujarat,2
V14804,30,Female,Hotel,3865,Palanquin,4052,7917,May,3,Madhya Pradesh,2
V14805,44,Female,Tent,4758,Walk,0,4758,June,2,Maharashtra,4
V14806,29,Female,Tent,4520,Horse,1497,6017,October,7,Madhya Pradesh,5
V14807,64,Male,Tent,2199,Walk,0,2199,May,3,Uttar Pradesh,3
V14808,32,Female,Dharamshala,3962,Palanquin,1438,5400,May,6,Rajasthan,4
V14809,29,Male,Tent,708,Horse,5409,6117,September,8,Delhi,5
V14810,64,Male,Hotel,2038,Horse,968,3006,May,10,Delhi,6
V14811,65,Male,Hotel,4424,Walk,0,4424,September,8,Maharashtra,7
V14812,48,Male,Hotel,4016,Palanquin,33,4049,September,10,Delhi,1
V14813,56,Other,Tent,4458,Walk,0,4458,September,10,Gujarat,5
V14814,52,Female,Hotel,2570,Horse,2210,4780,June,6,Madhya Pradesh,6
V14815,33,Female,Tent,4778,Walk,0,4778,July,5,Rajasthan,5
V14816,51,Female,Hotel,2198,Palanquin,1595,3793,October,5,Delhi,5
V14817,28,Female,Hotel,4243,Horse,291,4534,May,2,Maharashtra,4
V14818,51,Female,Hotel,1849,Horse,7943,9792,July,2,Uttar Pradesh,4
V14819,24,Female,Hotel,2474,Palanquin,1621,4095,June,1,Rajasthan,2
V14820,64,Male,Hotel,2394,Horse,3367,5761,May,10,Delhi,1
V14821,33,Male,Tent,1001,Palanquin,377,1378,June,7,Uttar Pradesh,5
V14822,46,Male,Tent,4913,Walk,0,4913,May,10,Maharashtra,5
V14823,70,Male,Tent,4148,Horse,2621,6769,June,6,Maharashtra,1
V14824,65,Female,Hotel,1657,Walk,0,1657,July,4,Maharashtra,1
V14825,31,Male,Tent,3789,Horse,2184,5973,September,9,Delhi,2
V14826,63,Other,Dharamshala,3277,Palanquin,3025,6302,July,7,Delhi,5
V14827,31,Male,Hotel,2601,Horse,3136,5737,June,2,Gujarat,4
V14828,26,Female,Tent,884,Horse,7194,8078,June,2,Delhi,7
V14829,30,Female,Hotel,3159,Walk,0,3159,May,6,Delhi,3
V14830,19,Female,Hotel,3864,Horse,6647,10511,October,3,Delhi,1
V14831,20,Female,Hotel,1649,Walk,0,1649,September,3,Madhya Pradesh,1
V14832,26,Female,Tent,1917,Horse,6858,8775,May,9,Rajasthan,1
V14833,25,Female,Tent,716,Horse,5540,6256,August,5,Gujarat,2
V14834,50,Female,Tent,4883,Walk,0,4883,May,5,Delhi,6
V14835,68,Male,Tent,2542,Palanquin,5132,7674,August,2,Maharashtra,5
V14836,22,Male,Hotel,4821,Walk,0,4821,September,1,Maharashtra,3
V14837,61,Female,Dharamshala,4270,Walk,0,4270,August,5,Rajasthan,1
V14838,44,Female,Tent,2382,Walk,0,2382,October,9,Delhi,2
V14839,28,Female,Tent,1314,Walk,0,1314,May,2,Maharashtra,3
V14840,62,Male,Tent,3551,Horse,1276,4827,May,2,Uttar Pradesh,7
V14841,67,Male,Hotel,2959,Palanquin,189,3148,September,5,Maharashtra,7
V14842,68,Male,Tent,921,Walk,0,921,May,8,Madhya Pradesh,3
V14843,31,Other,Dharamshala,2337,Walk,0,2337,July,4,Madhya Pradesh,6
V14844,26,Female,Hotel,352,Horse,2991,3343,July,3,Rajasthan,3
V14845,65,Male,Hotel,2055,Walk,0,2055,September,2,Uttar Pradesh,6
V14846,32,Female,Tent,1460,Walk,0,1460,October,10,Rajasthan,7
V14847,21,Male,Hotel,1437,Walk,0,1437,October,10,Rajasthan,6
V14848,45,Male,Hotel,2499,Helicopter,806,3305,August,2,Uttar Pradesh,5
V14849,35,Male,Hotel,4615,Horse,5567,10182,September,3,Delhi,7
V14850,67,Other,Dharamshala,3971,Palanquin,827,4798,September,3,Rajasthan,3
V14851,27,Female,Hotel,4207,Horse,5881,10088,October,5,Maharashtra,2
V14852,24,Male,Dharamshala,1481,Walk,0,1481,October,5,Gujarat,7
V14853,18,Male,Hotel,2724,Palanquin,1490,4214,May,6,Uttar Pradesh,4
V14854,46,Female,Tent,1843,Horse,7178,9021,September,4,Uttar Pradesh,7
V14855,52,Other,Tent,3197,Horse,7723,10920,September,9,Madhya Pradesh,6
V14856,45,Female,Hotel,2596,Horse,2007,4603,September,6,Delhi,7
V14857,47,Male,Hotel,4310,Walk,0,4310,July,2,Gujarat,7
V14858,45,Female,Dharamshala,3801,Palanquin,4380,8181,October,9,Rajasthan,4
V14859,26,Female,Tent,2733,Horse,4851,7584,June,10,Madhya Pradesh,1
V14860,22,Male,Tent,1140,Walk,0,1140,October,2,Gujarat,3
V14861,22,Other,Hotel,3383,Walk,0,3383,June,9,Madhya Pradesh,1
V14862,25,Female,Tent,1802,Walk,0,1802,May,7,Madhya Pradesh,7
V14863,42,Female,Tent,3771,Helicopter,520,4291,June,4,Uttar Pradesh,3
V14864,70,Female,Dharamshala,929,Horse,7577,8506,June,9,Gujarat,2
V14865,47,Male,Tent,1619,Walk,0,1619,May,1,Madhya Pradesh,6
V14866,38,Other,Dharamshala,3158,Walk,0,3158,September,1,Maharashtra,1
V14867,69,Male,Tent,1045,Walk,0,1045,June,2,Madhya Pradesh,6
V14868,53,Female,Hotel,3129,Horse,4130,7259,July,5,Uttar Pradesh,7
V14869,18,Female,Hotel,4204,Palanquin,4938,9142,August,5,Maharashtra,3
V14870,25,Male,Hotel,4455,Horse,7649,12104,May,1,Uttar Pradesh,2
V14871,55,Female,Tent,3995,Walk,0,3995,May,9,Uttar Pradesh,5
V14872,55,Male,Tent,1149,Horse,6859,8008,June,2,Maharashtra,6
V14873,51,Female,Tent,1492,Horse,6652,8144,June,1,Madhya Pradesh,7
V14874,22,Male,Dharamshala,1418,Palanquin,493,1911,July,4,Uttar Pradesh,5
V14875,65,Female,Tent,2622,Helicopter,235,2857,October,1,Rajasthan,1
V14876,61,Male,Hotel,1568,Palanquin,675,2243,June,2,Maharashtra,2
V14877,23,Female,Tent,3456,Palanquin,4555,8011,July,2,Uttar Pradesh,7
V14878,21,Male,Hotel,2921,Walk,0,2921,October,2,Delhi,4
V14879,20,Female,Tent,2345,Walk,0,2345,August,1,Gujarat,2
V14880,69,Male,Hotel,3189,Palanquin,111,3300,October,10,Madhya Pradesh,5
V14881,44,Female,Tent,4212,Palanquin,667,4879,July,4,Rajasthan,3
V14882,46,Female,Hotel,2207,Palanquin,4487,6694,June,2,Maharashtra,4
V14883,60,Male,Hotel,1556,Palanquin,1907,3463,October,9,Rajasthan,4
V14884,64,Male,Tent,429,Walk,0,429,June,6,Delhi,6
V14885,53,Male,Hotel,4979,Walk,0,4979,October,3,Rajasthan,3
V14886,54,Female,Hotel,3368,Palanquin,5915,9283,September,1,Gujarat,3
V14887,51,Female,Hotel,3192,Walk,0,3192,June,2,Rajasthan,4
V14888,37,Female,Tent,3171,Horse,2809,5980,October,9,Uttar Pradesh,3
V14889,55,Female,Hotel,3623,Helicopter,7386,11009,October,8,Maharashtra,3
V14890,25,Female,Hotel,3232,Helicopter,885,4117,May,2,Madhya Pradesh,2
V14891,33,Male,Tent,1418,Walk,0,1418,August,4,Gujarat,1
V14892,35,Female,Hotel,1530,Palanquin,2831,4361,September,4,Gujarat,2
V14893,43,Female,Hotel,3691,Horse,7211,10902,June,1,Rajasthan,6
V14894,49,Male,Hotel,3722,Walk,0,3722,June,8,Uttar Pradesh,6
V14895,70,Male,Dharamshala,4484,Walk,0,4484,October,10,Rajasthan,4
V14896,45,Male,Hotel,2606,Walk,0,2606,May,7,Delhi,4
V14897,23,Female,Tent,2548,Walk,0,2548,June,1,Uttar Pradesh,3
V14898,34,Female,Tent,2357,Horse,7913,10270,August,8,Gujarat,4
V14899,54,Male,Hotel,2894,Helicopter,5862,8756,August,5,Uttar Pradesh,6
V14900,23,Male,Dharamshala,3579,Walk,0,3579,July,9,Gujarat,3
V14901,34,Male,Tent,4198,Palanquin,543,4741,June,3,Rajasthan,5
V14902,40,Other,Hotel,2360,Palanquin,7864,10224,July,6,Rajasthan,7
V14903,29,Male,Dharamshala,2976,Walk,0,2976,June,5,Madhya Pradesh,6
V14904,66,Male,Hotel,829,Horse,865,1694,July,2,Uttar Pradesh,4
V14905,25,Female,Hotel,3300,Palanquin,2001,5301,June,1,Gujarat,5
V14906,36,Female,Dharamshala,1917,Horse,7114,9031,July,10,Maharashtra,7
V14907,31,Male,Hotel,4672,Walk,0,4672,September,6,Gujarat,7
V14908,25,Male,Hotel,2782,Palanquin,5842,8624,October,4,Maharashtra,2
V14909,42,Female,Hotel,3992,Helicopter,7094,11086,July,3,Delhi,5
V14910,68,Male,Dharamshala,2671,Walk,0,2671,August,4,Delhi,3
V14911,41,Male,Dharamshala,3747,Walk,0,3747,June,3,Madhya Pradesh,2
V14912,70,Female,Tent,4994,Horse,2330,7324,September,4,Madhya Pradesh,3
V14913,45,Male,Hotel,1460,Walk,0,1460,October,1,Delhi,7
V14914,50,Female,Hotel,3984,Walk,0,3984,June,8,Maharashtra,3
V14915,41,Female,Hotel,2666,Palanquin,4383,7049,September,8,Gujarat,5
V14916,69,Male,Hotel,2824,Palanquin,6280,9104,June,1,Delhi,4
V14917,27,Female,Hotel,2264,Helicopter,6145,8409,June,4,Delhi,5
V14918,68,Female,Tent,4116,Walk,0,4116,June,9,Madhya Pradesh,6
V14919,59,Male,Hotel,1745,Palanquin,1718,3463,August,3,Uttar Pradesh,7
V14920,48,Male,Tent,2810,Palanquin,6981,9791,October,5,Gujarat,1
V14921,42,Female,Dharamshala,1282,Walk,0,1282,May,3,Maharashtra,4
V14922,48,Female,Tent,3407,Walk,0,3407,May,5,Maharashtra,5
V14923,37,Female,Hotel,2655,Horse,4544,7199,June,7,Maharashtra,6
V14924,27,Male,Hotel,4891,Palanquin,7905,12796,June,5,Maharashtra,1
V14925,69,Other,Hotel,3912,Palanquin,1714,5626,October,10,Gujarat,6
V14926,36,Male,Tent,4329,Horse,3553,7882,May,7,Rajasthan,3
V14927,45,Male,Tent,2178,Palanquin,4769,6947,October,2,Gujarat,7
V14928,19,Female,Hotel,1586,Horse,7300,8886,September,5,Gujarat,5
V14929,25,Female,Dharamshala,1572,Horse,3666,5238,August,7,Maharashtra,5
V14930,30,Male,Tent,3743,Walk,0,3743,October,2,Madhya Pradesh,2
V14931,61,Other,Tent,2821,Walk,0,2821,May,3,Uttar Pradesh,7
V14932,26,Female,Tent,2985,Helicopter,5530,8515,October,5,Madhya Pradesh,3
V14933,43,Female,Dharamshala,3214,Helicopter,4242,7456,August,9,Maharashtra,1
V14934,53,Female,Dharamshala,3997,Horse,3919,7916,October,1,Maharashtra,7
V14935,55,Male,Hotel,3094,Horse,7854,10948,October,3,Rajasthan,5
V14936,38,Male,Dharamshala,2431,Horse,6099,8530,August,9,Gujarat,3
V14937,22,Male,Tent,4637,Helicopter,4067,8704,September,1,Rajasthan,4
V14938,18,Male,Dharamshala,4294,Horse,3214,7508,June,9,Rajasthan,3
V14939,54,Female,Hotel,4826,Horse,6736,11562,September,9,Maharashtra,7
V14940,34,Male,Tent,2644,Walk,0,2644,October,3,Rajasthan,2
V14941,66,Male,Dharamshala,2818,Horse,1568,4386,September,1,Madhya Pradesh,1
V14942,62,Male,Hotel,4137,Walk,0,4137,October,5,Madhya Pradesh,6
V14943,38,Male,Hotel,3403,Horse,3609,7012,May,2,Delhi,3
V14944,23,Female,Dharamshala,3477,Walk,0,3477,September,9,Gujarat,7
V14945,59,Other,Tent,350,Walk,0,350,May,9,Delhi,2
V14946,40,Male,Dharamshala,4986,Horse,3354,8340,June,4,Delhi,4
V14947,48,Female,Tent,1023,Walk,0,1023,September,3,Gujarat,2
V14948,53,Male,Hotel,3168,Walk,0,3168,September,3,Delhi,1
V14949,43,Male,Hotel,4122,Palanquin,2994,7116,July,8,Gujarat,4
V14950,43,Female,Tent,4653,Walk,0,4653,July,1,Gujarat,1
V14951,44,Male,Hotel,1292,Palanquin,7195,8487,October,4,Gujarat,2
V14952,30,Female,Tent,4807,Helicopter,4070,8877,July,3,Gujarat,4
V14953,18,Female,Hotel,3917,Walk,0,3917,October,1,Gujarat,5
V14954,64,Male,Hotel,3320,Palanquin,2705,6025,August,2,Delhi,3
V14955,53,Male,Dharamshala,3439,Palanquin,7971,11410,May,9,Uttar Pradesh,7
V14956,25,Female,Tent,2943,Walk,0,2943,August,6,Uttar Pradesh,5
V14957,62,Female,Tent,4166,Palanquin,1162,5328,September,10,Rajasthan,4
V14958,41,Male,Hotel,568,Helicopter,1457,2025,June,5,Uttar Pradesh,7
V14959,67,Male,Hotel,1344,Palanquin,6345,7689,October,1,Madhya Pradesh,4
V14960,44,Male,Hotel,2611,Walk,0,2611,June,7,Delhi,4
V14961,39,Female,Hotel,3612,Walk,0,3612,June,3,Gujarat,2
V14962,18,Female,Tent,1242,Walk,0,1242,September,1,Uttar Pradesh,2
V14963,55,Female,Hotel,1121,Horse,1779,2900,August,9,Delhi,5
V14964,37,Female,Hotel,2440,Walk,0,2440,August,6,Delhi,3
V14965,40,Male,Hotel,2097,Horse,5483,7580,July,3,Maharashtra,4
V14966,39,Male,Tent,2591,Walk,0,2591,May,7,Delhi,7
V14967,38,Male,Tent,1189,Walk,0,1189,June,1,Madhya Pradesh,5
V14968,51,Male,Tent,2073,Walk,0,2073,August,8,Delhi,6
V14969,25,Female,Hotel,2705,Horse,7036,9741,May,10,Uttar Pradesh,6
V14970,32,Male,Dharamshala,4547,Palanquin,1622,6169,October,2,Madhya Pradesh,5
V14971,68,Female,Tent,3313,Walk,0,3313,June,8,Gujarat,1
V14972,41,Male,Dharamshala,1897,Horse,6569,8466,May,7,Rajasthan,4
V14973,41,Female,Hotel,3859,Horse,1604,5463,August,1,Delhi,2
V14974,46,Male,Tent,1360,Palanquin,7719,9079,October,3,Uttar Pradesh,7
V14975,46,Male,Hotel,1283,Palanquin,6212,7495,June,5,Gujarat,7
V14976,53,Male,Hotel,4433,Horse,2762,7195,October,6,Gujarat,6
V14977,29,Female,Dharamshala,3097,Walk,0,3097,October,3,Rajasthan,5
V14978,50,Female,Tent,771,Horse,7780,8551,May,5,Uttar Pradesh,2
V14979,66,Male,Hotel,4566,Walk,0,4566,June,2,Madhya Pradesh,4
V14980,69,Female,Hotel,4440,Horse,5527,9967,May,2,Delhi,2
V14981,36,Male,Hotel,4377,Walk,0,4377,August,5,Uttar Pradesh,4
V14982,56,Female,Tent,1148,Palanquin,1064,2212,September,10,Uttar Pradesh,3
V14983,39,Male,Dharamshala,2686,Walk,0,2686,June,4,Madhya Pradesh,3
V14984,32,Female,Hotel,4225,Walk,0,4225,September,4,Madhya Pradesh,4
V14985,32,Male,Hotel,2828,Palanquin,4936,7764,October,5,Maharashtra,2
V14986,32,Male,Tent,1025,Walk,0,1025,May,1,Madhya Pradesh,5
V14987,59,Male,Hotel,4814,Horse,3844,8658,May,1,Madhya Pradesh,4
V14988,68,Male,Hotel,2607,Palanquin,7739,10346,June,5,Madhya Pradesh,5
V14989,28,Male,Hotel,831,Horse,2550,3381,May,3,Uttar Pradesh,4
V14990,44,Male,Hotel,879,Horse,6625,7504,August,8,Uttar Pradesh,5
V14991,67,Male,Dharamshala,4908,Palanquin,2019,6927,July,6,Rajasthan,7
V14992,60,Male,Hotel,4412,Walk,0,4412,September,7,Madhya Pradesh,5
V14993,38,Female,Tent,3503,Walk,0,3503,August,6,Maharashtra,5
V14994,37,Female,Tent,1844,Palanquin,1507,3351,July,4,Rajasthan,5
V14995,24,Male,Hotel,566,Helicopter,4114,4680,July,10,Gujarat,5
V14996,69,Male,Tent,4112,Walk,0,4112,October,4,Uttar Pradesh,5
V14997,53,Male,Hotel,3868,Helicopter,3907,7775,May,1,Gujarat,7
V14998,64,Female,Tent,3146,Helicopter,4963,8109,October,1,Maharashtra,1
V14999,65,Female,Tent,2523,Walk,0,2523,July,8,Madhya Pradesh,4
V15000,61,Male,Hotel,2249,Palanquin,2734,4983,September,4,Delhi,7
V15001,30,Female,Hotel,505,Walk,0,505,August,10,Rajasthan,6
V15002,69,Female,Dharamshala,3945,Palanquin,4103,8048,October,3,Madhya Pradesh,7
V15003,45,Male,Hotel,4593,Palanquin,26,4619,September,4,Uttar Pradesh,4
V15004,22,Female,Tent,2871,Palanquin,6603,9474,September,5,Gujarat,7
V15005,69,Female,Hotel,4662,Walk,0,4662,July,6,Delhi,1
V15006,28,Female,Dharamshala,3794,Walk,0,3794,October,10,Gujarat,5
V15007,18,Female,Tent,1964,Horse,7210,9174,September,7,Maharashtra,1
V15008,38,Female,Hotel,3411,Walk,0,3411,October,6,Madhya Pradesh,4
V15009,53,Female,Dharamshala,4329,Palanquin,3926,8255,May,8,Rajasthan,5
V15010,65,Male,Hotel,3097,Walk,0,3097,June,2,Gujarat,4
V15011,46,Male,Hotel,1641,Horse,5714,7355,September,5,Madhya Pradesh,5
V15012,59,Female,Hotel,1363,Palanquin,7942,9305,October,1,Maharashtra,5
V15013,48,Male,Hotel,4732,Horse,2550,7282,May,7,Madhya Pradesh,5
V15014,57,Male,Hotel,3302,Horse,6100,9402,August,6,Uttar Pradesh,1
V15015,64,Male,Hotel,2868,Walk,0,2868,September,3,Gujarat,3
V15016,21,Female,Tent,3596,Walk,0,3596,August,1,Rajasthan,5
V15017,39,Male,Hotel,2232,Walk,0,2232,June,10,Maharashtra,1
V15018,60,Male,Hotel,3294,Palanquin,1046,4340,September,5,Madhya Pradesh,2
V15019,49,Male,Tent,4541,Palanquin,392,4933,May,1,Uttar Pradesh,7
V15020,45,Male,Hotel,1828,Helicopter,4180,6008,September,3,Gujarat,1
V15021,68,Other,Tent,4640,Walk,0,4640,May,1,Uttar Pradesh,3
V15022,63,Male,Hotel,3391,Walk,0,3391,August,5,Rajasthan,2
V15023,21,Male,Dharamshala,1238,Palanquin,4979,6217,June,4,Maharashtra,7
V15024,65,Female,Hotel,1772,Walk,0,1772,June,4,Gujarat,2
V15025,22,Male,Hotel,2965,Walk,0,2965,May,7,Maharashtra,3
V15026,60,Male,Tent,2033,Helicopter,1517,3550,September,6,Rajasthan,6
V15027,41,Male,Hotel,1840,Horse,362,2202,July,1,Uttar Pradesh,2
V15028,38,Male,Tent,1357,Palanquin,6905,8262,June,6,Madhya Pradesh,2
V15029,22,Male,Hotel,4024,Walk,0,4024,October,8,Gujarat,3
V15030,37,Female,Hotel,4371,Horse,5443,9814,July,8,Rajasthan,6
V15031,26,Female,Tent,2247,Walk,0,2247,May,4,Rajasthan,2
V15032,68,Female,Tent,1125,Horse,7991,9116,October,4,Madhya Pradesh,6
V15033,21,Female,Tent,1502,Palanquin,1895,3397,May,2,Madhya Pradesh,6
V15034,48,Male,Tent,2380,Horse,1414,3794,May,8,Gujarat,2
V15035,59,Female,Dharamshala,404,Walk,0,404,June,5,Gujarat,1
V15036,56,Female,Dharamshala,2301,Walk,0,2301,October,5,Gujarat,7
V15037,35,Male,Tent,4624,Walk,0,4624,May,6,Madhya Pradesh,5
V15038,18,Female,Hotel,1342,Walk,0,1342,June,6,Madhya Pradesh,6
V15039,66,Male,Tent,4623,Helicopter,2612,7235,September,9,Madhya Pradesh,3
V15040,69,Other,Hotel,1650,Horse,7641,9291,June,2,Maharashtra,7
V15041,43,Female,Dharamshala,4894,Horse,4540,9434,July,2,Rajasthan,1
V15042,54,Female,Hotel,375,Walk,0,375,July,1,Rajasthan,5
V15043,41,Female,Hotel,2813,Walk,0,2813,July,8,Madhya Pradesh,5
V15044,48,Other,Tent,4297,Horse,987,5284,October,9,Gujarat,1
V15045,18,Female,Tent,3568,Helicopter,4248,7816,May,10,Gujarat,2
V15046,28,Female,Tent,1587,Palanquin,6314,7901,September,3,Rajasthan,7
V15047,61,Female,Hotel,4670,Walk,0,4670,May,4,Uttar Pradesh,3
V15048,65,Female,Hotel,4262,Walk,0,4262,August,3,Maharashtra,6
V15049,37,Female,Tent,4136,Walk,0,4136,July,10,Madhya Pradesh,3
V15050,21,Female,Dharamshala,4185,Walk,0,4185,July,10,Gujarat,5
V15051,38,Female,Tent,380,Horse,1147,1527,June,5,Madhya Pradesh,5
V15052,68,Female,Hotel,445,Walk,0,445,August,10,Rajasthan,6
V15053,65,Male,Hotel,774,Helicopter,4188,4962,October,8,Delhi,3
V15054,56,Female,Tent,2607,Palanquin,5446,8053,June,6,Uttar Pradesh,3
V15055,55,Other,Hotel,1102,Walk,0,1102,October,5,Gujarat,2
V15056,23,Female,Hotel,4781,Helicopter,5440,10221,September,2,Gujarat,7
V15057,42,Male,Hotel,1042,Palanquin,6351,7393,June,2,Maharashtra,3
V15058,57,Female,Hotel,4809,Horse,5001,9810,September,9,Rajasthan,5
V15059,34,Female,Dharamshala,3991,Helicopter,1109,5100,June,5,Delhi,3
V15060,24,Female,Dharamshala,2792,Horse,3705,6497,July,8,Delhi,3
V15061,46,Female,Tent,2455,Helicopter,219,2674,August,7,Gujarat,2
V15062,36,Male,Tent,4286,Walk,0,4286,May,8,Gujarat,1
V15063,59,Male,Hotel,1654,Palanquin,2571,4225,October,1,Gujarat,5
V15064,69,Female,Tent,468,Horse,1171,1639,October,4,Uttar Pradesh,5
V15065,37,Other,Hotel,4497,Walk,0,4497,August,1,Delhi,2
V15066,57,Other,Hotel,2826,Walk,0,2826,October,6,Madhya Pradesh,5
V15067,65,Female,Hotel,2456,Walk,0,2456,August,3,Maharashtra,7
V15068,55,Male,Hotel,1652,Helicopter,3288,4940,June,10,Madhya Pradesh,4
V15069,70,Female,Hotel,4810,Horse,3267,8077,September,1,Delhi,3
V15070,27,Female,Hotel,1623,Helicopter,2000,3623,July,1,Maharashtra,4
V15071,49,Female,Tent,3067,Horse,2971,6038,August,6,Madhya Pradesh,4
V15072,58,Male,Tent,2204,Horse,1613,3817,September,8,Rajasthan,1
V15073,41,Male,Tent,4270,Walk,0,4270,October,2,Uttar Pradesh,4
V15074,44,Male,Tent,788,Horse,7372,8160,August,9,Uttar Pradesh,2
V15075,49,Female,Tent,2660,Palanquin,7396,10056,July,6,Maharashtra,6
V15076,47,Male,Tent,4487,Horse,6393,10880,May,1,Rajasthan,3
V15077,22,Female,Dharamshala,4086,Helicopter,1904,5990,September,10,Rajasthan,7
V15078,30,Male,Hotel,4836,Horse,4729,9565,July,8,Delhi,2
